step_num,step_time_ms,data_transfer_time_ms,forward_time_ms,backward_time_ms,optimizer_time_ms,checkpoint_time_ms,gpu_memory_allocated_mb,gpu_memory_reserved_mb,gpu_memory_peak_mb,energy_step_j,co2_step_mg,gpu_temperature_c,gpu_utilization,gpu_memory_utilization,cpu_utilization,timestamp
0,353.813346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-06T17:04:37.809795
1,91.458823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-06T17:04:37.901590
2,139.021797,0.0,0.0,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,23.433666666666667,0.19528055555555554,49.0,74.0,58.0,1.1,2026-04-06T17:04:38.044145
3,135.878163,0.0,0.0,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,23.433666666666667,0.19528055555555554,49.0,74.0,58.0,1.1,2026-04-06T17:04:38.180233
4,138.037369,0.0,0.0,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,23.433666666666667,0.19528055555555554,49.0,74.0,58.0,1.1,2026-04-06T17:04:38.318662
5,138.583679,0.0,0.0,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,23.433666666666667,0.19528055555555554,49.0,74.0,58.0,1.1,2026-04-06T17:04:38.457624
6,137.712854,0.0,0.0,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,30.664,0.25553333333333333,50.0,99.0,72.0,1.0,2026-04-06T17:04:38.597935
7,135.76804,0.0,0.0,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,30.664,0.25553333333333333,50.0,99.0,72.0,1.0,2026-04-06T17:04:38.733903
8,137.374578,0.0,0.0,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,30.664,0.25553333333333333,50.0,99.0,72.0,1.0,2026-04-06T17:04:38.871684
9,137.654143,0.0,0.0,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,30.664,0.25553333333333333,50.0,99.0,72.0,1.0,2026-04-06T17:04:39.009711
10,137.629443,0.0,0.0,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,31.92325,0.26602708333333336,51.0,99.0,74.0,1.0,2026-04-06T17:04:39.154159
11,131.844103,0.0,0.0,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,31.92325,0.26602708333333336,51.0,99.0,74.0,1.0,2026-04-06T17:04:39.286210
12,138.136901,0.0,0.0,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,31.92325,0.26602708333333336,51.0,99.0,74.0,1.0,2026-04-06T17:04:39.424757
13,138.777643,0.0,0.0,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,31.92325,0.26602708333333336,51.0,99.0,74.0,1.0,2026-04-06T17:04:39.563929
14,139.040877,0.0,0.0,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,25.37175,0.21143125,51.0,98.0,82.0,1.0,2026-04-06T17:04:39.705591
15,136.385411,0.0,0.0,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,25.37175,0.21143125,51.0,98.0,82.0,1.0,2026-04-06T17:04:39.842185
16,138.194183,0.0,0.0,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,25.37175,0.21143125,51.0,98.0,82.0,1.0,2026-04-06T17:04:39.980794
17,138.174183,0.0,0.0,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,25.37175,0.21143125,51.0,98.0,82.0,1.0,2026-04-06T17:04:40.119360
18,137.903497,0.0,0.0,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,31.45825,0.26215208333333334,51.0,99.0,72.0,1.0,2026-04-06T17:04:40.259868
19,135.885183,0.0,0.0,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,31.45825,0.26215208333333334,51.0,99.0,72.0,1.0,2026-04-06T17:04:40.395951
20,137.593913,0.0,0.0,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,31.45825,0.26215208333333334,51.0,99.0,72.0,1.0,2026-04-06T17:04:40.533957
21,137.734024,0.0,0.0,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,31.45825,0.26215208333333334,51.0,99.0,72.0,1.0,2026-04-06T17:04:40.672102
22,137.632292,0.0,0.0,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,25.4765,0.21230416666666668,51.0,99.0,75.0,1.0,2026-04-06T17:04:40.813320
23,135.642078,0.0,0.0,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,25.4765,0.21230416666666668,51.0,99.0,75.0,1.0,2026-04-06T17:04:40.949172
24,137.490841,0.0,0.0,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,25.4765,0.21230416666666668,51.0,99.0,75.0,1.0,2026-04-06T17:04:41.087191
25,138.09261,0.0,0.0,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,25.4765,0.21230416666666668,51.0,99.0,75.0,1.0,2026-04-06T17:04:41.225687
26,138.542548,0.0,0.0,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,32.1175,0.2676458333333333,51.0,99.0,70.0,1.0,2026-04-06T17:04:41.367378
27,135.990994,0.0,0.0,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,32.1175,0.2676458333333333,51.0,99.0,70.0,1.0,2026-04-06T17:04:41.503579
28,138.480728,0.0,0.0,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,32.1175,0.2676458333333333,51.0,99.0,70.0,1.0,2026-04-06T17:04:41.642465
29,138.312104,0.0,0.0,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,32.1175,0.2676458333333333,51.0,99.0,70.0,1.0,2026-04-06T17:04:41.781173
30,138.236603,0.0,0.0,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,24.74075,0.20617291666666665,52.0,99.0,80.0,1.1,2026-04-06T17:04:41.922024
31,136.217879,0.0,0.0,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,24.74075,0.20617291666666665,52.0,99.0,80.0,1.1,2026-04-06T17:04:42.058449
32,138.347305,0.0,0.0,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,24.74075,0.20617291666666665,52.0,99.0,80.0,1.1,2026-04-06T17:04:42.197232
33,138.011369,0.0,0.0,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,24.74075,0.20617291666666665,52.0,99.0,80.0,1.1,2026-04-06T17:04:42.335691
34,137.943898,0.0,0.0,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,31.6605,0.2638375,52.0,99.0,75.0,1.1,2026-04-06T17:04:42.476287
35,135.566447,0.0,0.0,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,31.6605,0.2638375,52.0,99.0,75.0,1.1,2026-04-06T17:04:42.612062
36,137.648914,0.0,0.0,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,31.6605,0.2638375,52.0,99.0,75.0,1.1,2026-04-06T17:04:42.750131
37,137.837297,0.0,0.0,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,31.6605,0.2638375,52.0,99.0,75.0,1.1,2026-04-06T17:04:42.888364
38,137.879127,0.0,0.0,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,25.78875,0.21490625,52.0,99.0,79.0,1.1,2026-04-06T17:04:43.032886
39,131.900834,0.0,0.0,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,25.78875,0.21490625,52.0,99.0,79.0,1.1,2026-04-06T17:04:43.164991
40,138.141301,0.0,0.0,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,25.78875,0.21490625,52.0,99.0,79.0,1.1,2026-04-06T17:04:43.303553
41,139.030787,0.0,0.0,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,25.78875,0.21490625,52.0,99.0,79.0,1.1,2026-04-06T17:04:43.442991
42,138.071061,0.0,0.0,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,31.69525,0.26412708333333335,52.0,99.0,71.0,1.1,2026-04-06T17:04:43.583929
43,136.397002,0.0,0.0,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,31.69525,0.26412708333333335,52.0,99.0,71.0,1.1,2026-04-06T17:04:43.720546
44,138.314844,0.0,0.0,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,31.69525,0.26412708333333335,52.0,99.0,71.0,1.1,2026-04-06T17:04:43.859273
45,138.06397,0.0,0.0,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,31.69525,0.26412708333333335,52.0,99.0,71.0,1.1,2026-04-06T17:04:43.997741
46,137.719795,0.0,0.0,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,25.397,0.21164166666666664,52.0,99.0,76.0,1.1,2026-04-06T17:04:44.138089
