step_num,step_time_ms,data_transfer_time_ms,forward_time_ms,backward_time_ms,optimizer_time_ms,checkpoint_time_ms,gpu_memory_allocated_mb,gpu_memory_reserved_mb,gpu_memory_peak_mb,energy_step_j,co2_step_mg,gpu_temperature_c,gpu_utilization,gpu_memory_utilization,cpu_utilization,timestamp
0,456.98142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-06T16:12:35.921225
1,174.490927,0.0,0.0,0.0,0.0,0.0,3436.36376953125,10940.0,10615.47705078125,43.191,0.359925,57.0,89.0,72.0,1.0,2026-04-06T16:12:36.098576
2,248.744722,0.0,0.0,0.0,0.0,0.0,3436.36376953125,10940.0,10615.47705078125,43.191,0.359925,57.0,89.0,72.0,1.0,2026-04-06T16:12:36.347538
3,251.317135,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,52.865,0.44054166666666666,58.0,100.0,69.0,1.0,2026-04-06T16:12:36.601612
4,248.550518,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,52.865,0.44054166666666666,58.0,100.0,69.0,1.0,2026-04-06T16:12:36.850381
5,251.580741,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,63.7635,0.5313625,58.0,99.0,77.0,1.0,2026-04-06T16:12:37.104451
6,249.505645,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,63.7635,0.5313625,58.0,99.0,77.0,1.0,2026-04-06T16:12:37.354168
7,251.438008,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,54.216,0.4518,58.0,99.0,77.0,1.1,2026-04-06T16:12:37.613784
8,243.413698,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,54.216,0.4518,58.0,99.0,77.0,1.1,2026-04-06T16:12:37.857419
9,251.221474,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,53.7065,0.44755416666666664,59.0,99.0,77.0,1.0,2026-04-06T16:12:38.112540
10,248.034378,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,53.7065,0.44755416666666664,59.0,99.0,77.0,1.0,2026-04-06T16:12:38.360795
11,250.576573,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,54.156,0.45130000000000003,59.0,99.0,78.0,1.0,2026-04-06T16:12:38.615758
12,247.327597,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,54.156,0.45130000000000003,59.0,99.0,78.0,1.0,2026-04-06T16:12:38.863306
13,251.088382,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,53.2655,0.4438791666666667,59.0,99.0,77.0,1.1,2026-04-06T16:12:39.117027
14,249.76619,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,53.2655,0.4438791666666667,59.0,99.0,77.0,1.1,2026-04-06T16:12:39.367007
15,251.296866,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,53.2825,0.4440208333333333,59.0,99.0,77.0,1.1,2026-04-06T16:12:39.620988
16,248.876684,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,53.2825,0.4440208333333333,59.0,99.0,77.0,1.1,2026-04-06T16:12:39.870075
17,251.580252,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,52.9325,0.44110416666666663,59.0,99.0,76.0,1.6,2026-04-06T16:12:40.124318
18,249.008595,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,52.9325,0.44110416666666663,59.0,99.0,76.0,1.6,2026-04-06T16:12:40.373545
19,251.459779,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,52.5355,0.43779583333333333,59.0,99.0,77.0,1.5,2026-04-06T16:12:40.631868
20,244.989005,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,52.5355,0.43779583333333333,59.0,99.0,77.0,1.5,2026-04-06T16:12:40.877080
21,250.893999,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,53.8845,0.44903750000000003,60.0,99.0,76.0,0.9,2026-04-06T16:12:41.131646
22,248.823723,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,53.8845,0.44903750000000003,60.0,99.0,76.0,0.9,2026-04-06T16:12:41.380681
23,251.262996,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,53.7905,0.44825416666666673,60.0,99.0,77.0,1.0,2026-04-06T16:12:41.634630
24,249.465154,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,53.7905,0.44825416666666673,60.0,99.0,77.0,1.0,2026-04-06T16:12:41.884308
25,251.248416,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,53.46,0.4455,60.0,99.0,75.0,0.9,2026-04-06T16:12:42.138227
26,249.145158,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,53.46,0.4455,60.0,99.0,75.0,0.9,2026-04-06T16:12:42.387588
27,251.945918,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,52.908,0.4409,60.0,99.0,77.0,1.1,2026-04-06T16:12:42.642246
28,249.183459,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,52.908,0.4409,60.0,99.0,77.0,1.1,2026-04-06T16:12:42.891668
29,251.376228,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,52.5955,0.43829583333333333,60.0,99.0,75.0,1.0,2026-04-06T16:12:43.151052
30,243.963197,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,52.5955,0.43829583333333333,60.0,99.0,75.0,1.0,2026-04-06T16:12:43.395234
31,251.52744,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,53.845,0.4487083333333333,60.0,99.0,77.0,0.9,2026-04-06T16:12:43.650840
32,248.231282,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,53.845,0.4487083333333333,60.0,99.0,77.0,0.9,2026-04-06T16:12:43.899364
33,251.674612,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,54.0485,0.45040416666666666,60.0,99.0,74.0,1.5,2026-04-06T16:12:44.153715
34,249.597366,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,54.0485,0.45040416666666666,60.0,99.0,74.0,1.5,2026-04-06T16:12:44.403537
35,251.697023,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,53.4025,0.44502083333333337,60.0,99.0,76.0,1.5,2026-04-06T16:12:44.657900
36,249.219879,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,53.4025,0.44502083333333337,60.0,99.0,76.0,1.5,2026-04-06T16:12:44.907337
37,251.862566,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,53.062,0.4421833333333333,61.0,99.0,75.0,1.0,2026-04-06T16:12:45.161908
38,249.153768,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,53.062,0.4421833333333333,61.0,99.0,75.0,1.0,2026-04-06T16:12:45.411281
39,251.656502,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,52.6815,0.43901249999999997,61.0,99.0,77.0,1.4,2026-04-06T16:12:45.670327
40,244.69737,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,52.6815,0.43901249999999997,61.0,99.0,77.0,1.4,2026-04-06T16:12:45.915247
41,251.386417,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,54.1905,0.4515875,60.0,100.0,74.0,1.7,2026-04-06T16:12:46.170303
42,248.774312,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,54.1905,0.4515875,60.0,100.0,74.0,1.7,2026-04-06T16:12:46.419294
43,251.51526,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,53.972,0.4497666666666667,61.0,99.0,77.0,1.6,2026-04-06T16:12:46.673463
44,249.475144,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,53.972,0.4497666666666667,61.0,99.0,77.0,1.6,2026-04-06T16:12:46.923160
45,251.720583,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,53.517,0.445975,61.0,100.0,73.0,1.6,2026-04-06T16:12:47.177587
46,249.081127,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,53.517,0.445975,61.0,100.0,73.0,1.6,2026-04-06T16:12:47.426877
47,251.661532,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,52.941,0.441175,61.0,99.0,77.0,1.5,2026-04-06T16:12:47.681189
48,249.232239,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,52.941,0.441175,61.0,99.0,77.0,1.5,2026-04-06T16:12:47.930636
49,251.733493,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,52.539,0.437825,61.0,100.0,72.0,1.0,2026-04-06T16:12:48.189550
50,9339.658784,0.0,0.0,0.0,0.0,9004.722689,3432.48876953125,10940.0,10615.47705078125,590.58,4.9215,51.0,0.0,0.0,0.8,2026-04-06T16:12:57.532209
51,162.836192,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,590.58,4.9215,51.0,0.0,0.0,0.8,2026-04-06T16:12:57.695565
52,250.313619,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,590.58,4.9215,51.0,0.0,0.0,0.8,2026-04-06T16:12:57.946331
53,251.945317,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,48.32266666666666,0.4026888888888888,58.0,99.0,77.0,1.6,2026-04-06T16:12:58.209491
54,238.739295,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,48.32266666666666,0.4026888888888888,58.0,99.0,77.0,1.6,2026-04-06T16:12:58.448461
55,250.882709,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,53.712,0.44760000000000005,58.0,99.0,77.0,1.8,2026-04-06T16:12:58.706439
56,244.237752,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,53.712,0.44760000000000005,58.0,99.0,77.0,1.8,2026-04-06T16:12:58.950904
57,250.742497,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,54.1105,0.4509208333333333,58.0,99.0,77.0,1.5,2026-04-06T16:12:59.206862
58,246.334609,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,54.1105,0.4509208333333333,58.0,99.0,77.0,1.5,2026-04-06T16:12:59.453421
59,251.811235,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,53.503,0.4458583333333333,59.0,99.0,77.0,1.2,2026-04-06T16:12:59.708575
60,248.058519,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,53.503,0.4458583333333333,59.0,99.0,77.0,1.2,2026-04-06T16:12:59.956849
61,250.536523,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,53.9965,0.4499708333333333,58.0,99.0,77.0,0.9,2026-04-06T16:13:00.210055
62,249.110677,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,53.9965,0.4499708333333333,58.0,99.0,77.0,0.9,2026-04-06T16:13:00.459373
63,250.903469,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,53.7115,0.44759583333333336,59.0,99.0,76.0,1.1,2026-04-06T16:13:00.712948
64,248.813773,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,53.7115,0.44759583333333336,59.0,99.0,76.0,1.1,2026-04-06T16:13:00.961975
65,250.452501,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,53.7195,0.44766249999999996,59.0,99.0,77.0,1.0,2026-04-06T16:13:01.215127
66,248.746172,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,53.7195,0.44766249999999996,59.0,99.0,77.0,1.0,2026-04-06T16:13:01.464093
67,250.019893,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,53.284,0.44403333333333334,60.0,99.0,77.0,1.6,2026-04-06T16:13:01.716903
68,248.11544,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,53.284,0.44403333333333334,60.0,99.0,77.0,1.6,2026-04-06T16:13:01.965237
69,251.504659,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,52.693,0.4391083333333333,59.0,99.0,78.0,1.5,2026-04-06T16:13:02.219831
70,247.876866,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,52.693,0.4391083333333333,59.0,99.0,78.0,1.5,2026-04-06T16:13:02.467925
71,250.9792,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,53.0075,0.4417291666666666,60.0,99.0,76.0,1.7,2026-04-06T16:13:02.724931
72,244.953104,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,53.0075,0.4417291666666666,60.0,99.0,76.0,1.7,2026-04-06T16:13:02.970103
73,251.156083,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,54.4905,0.4540875,60.0,99.0,77.0,1.6,2026-04-06T16:13:03.224862
74,248.328693,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,54.4905,0.4540875,60.0,99.0,77.0,1.6,2026-04-06T16:13:03.473411
75,250.710556,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,54.243,0.452025,60.0,99.0,75.0,1.3,2026-04-06T16:13:03.727468
76,249.051906,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,54.243,0.452025,60.0,99.0,75.0,1.3,2026-04-06T16:13:03.976730
77,251.614742,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,53.357,0.44464166666666666,59.0,99.0,77.0,1.2,2026-04-06T16:13:04.231090
78,248.6502,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,53.357,0.44464166666666666,59.0,99.0,77.0,1.2,2026-04-06T16:13:04.480032
79,251.751985,0.0,0.0,0.0,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,53.361,0.444675,60.0,99.0,75.0,1.1,2026-04-06T16:13:04.734490
