step_num,step_time_ms,data_transfer_time_ms,forward_time_ms,backward_time_ms,optimizer_time_ms,checkpoint_time_ms,gpu_memory_allocated_mb,gpu_memory_reserved_mb,gpu_memory_peak_mb,energy_step_j,co2_step_mg,gpu_temperature_c,gpu_utilization,gpu_memory_utilization,cpu_utilization,timestamp
0,462.604173,0.0,0.0,155.866617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-06T16:38:35.729394
1,232.465642,0.0,0.0,137.129108,0.0,0.0,3436.36376953125,10940.0,10615.47705078125,54.957,0.457975,57.0,99.0,72.0,0.6,2026-04-06T16:38:35.964780
2,250.496568,0.0,0.0,136.961465,0.0,0.0,3436.36376953125,10940.0,10615.47705078125,54.957,0.457975,57.0,99.0,72.0,0.6,2026-04-06T16:38:36.215506
3,253.495,0.0,0.0,137.144719,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,53.272,0.4439333333333333,57.0,99.0,77.0,0.5,2026-04-06T16:38:36.474817
4,247.930923,0.0,0.0,137.302371,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,53.272,0.4439333333333333,57.0,99.0,77.0,0.5,2026-04-06T16:38:36.722975
5,253.153955,0.0,0.0,137.202949,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,54.057,0.450475,58.0,99.0,75.0,0.5,2026-04-06T16:38:36.978884
6,250.901636,0.0,0.0,136.960645,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,54.057,0.450475,58.0,99.0,75.0,0.5,2026-04-06T16:38:37.230006
7,253.577822,0.0,0.0,137.307521,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,53.533,0.44610833333333333,58.0,99.0,77.0,0.5,2026-04-06T16:38:37.486321
8,253.328308,0.0,0.0,137.109808,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,53.533,0.44610833333333333,58.0,99.0,77.0,0.5,2026-04-06T16:38:37.739866
9,252.800208,0.0,0.0,137.056806,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,53.0125,0.44177083333333333,58.0,98.0,77.0,0.5,2026-04-06T16:38:37.996278
10,250.175302,0.0,0.0,137.033046,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,53.0125,0.44177083333333333,58.0,98.0,77.0,0.5,2026-04-06T16:38:38.246676
11,253.354359,0.0,0.0,137.158818,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,54.2385,0.4519875,58.0,99.0,76.0,0.5,2026-04-06T16:38:38.502833
12,250.983587,0.0,0.0,137.085767,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,54.2385,0.4519875,58.0,99.0,76.0,0.5,2026-04-06T16:38:38.754045
13,253.028913,0.0,0.0,137.22491,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,53.4515,0.4454291666666667,58.0,98.0,76.0,0.5,2026-04-06T16:38:39.013939
14,247.243921,0.0,0.0,137.22928,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,53.4515,0.4454291666666667,58.0,98.0,76.0,0.5,2026-04-06T16:38:39.261407
15,252.88953,0.0,0.0,137.127528,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,54.3655,0.4530458333333333,59.0,99.0,75.0,0.5,2026-04-06T16:38:39.517029
16,251.484877,0.0,0.0,137.321532,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,54.3655,0.4530458333333333,59.0,99.0,75.0,0.5,2026-04-06T16:38:39.768733
17,253.41691,0.0,0.0,137.228429,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,64.7925,0.5399375000000001,59.0,98.0,76.0,0.5,2026-04-06T16:38:40.025069
18,251.22161,0.0,0.0,137.317681,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,64.7925,0.5399375000000001,59.0,98.0,76.0,0.5,2026-04-06T16:38:40.276509
19,252.89355,0.0,0.0,137.077247,0.0,0.0,3432.48876953125,10940.0,10615.47705078125,54.9595,0.45799583333333327,59.0,99.0,68.0,0.5,2026-04-06T16:38:40.534031
