step_num,step_time_ms,data_transfer_time_ms,forward_time_ms,backward_time_ms,optimizer_time_ms,checkpoint_time_ms,gpu_memory_allocated_mb,gpu_memory_reserved_mb,gpu_memory_peak_mb,energy_step_j,co2_step_mg,gpu_temperature_c,gpu_utilization,gpu_memory_utilization,cpu_utilization,timestamp
0,651.359344,0.0,326.363862,0.0,0.0,0.0,3568.61376953125,17206.0,16890.529296875,114.54,0.9545000000000001,53.0,88.0,71.0,0.5,2026-04-06T13:31:38.983791
1,349.273335,0.0,165.306551,0.0,0.0,0.0,3568.61376953125,17206.0,16890.529296875,114.54,0.9545000000000001,53.0,88.0,71.0,0.5,2026-04-06T13:31:39.333402
2,472.281389,0.0,165.463734,0.0,0.0,0.0,3569.11376953125,19036.0,18699.89892578125,88.5635,0.7380291666666667,57.0,99.0,77.0,0.5,2026-04-06T13:31:39.808280
3,470.963899,0.0,165.560295,0.0,0.0,0.0,3569.11376953125,19036.0,18699.89892578125,88.5635,0.7380291666666667,57.0,99.0,77.0,0.5,2026-04-06T13:31:40.279466
4,472.522633,0.0,165.710998,0.0,0.0,0.0,3569.11376953125,19036.0,18699.89892578125,98.102,0.8175166666666667,58.0,99.0,88.0,0.5,2026-04-06T13:31:40.760318
5,465.342747,0.0,165.623206,0.0,0.0,0.0,3569.11376953125,19036.0,18699.89892578125,98.102,0.8175166666666667,58.0,99.0,88.0,0.5,2026-04-06T13:31:41.225899
6,472.793318,0.0,165.799169,0.0,0.0,0.0,3569.11376953125,19036.0,18699.89892578125,111.1505,0.9262541666666666,58.0,99.0,79.0,0.5,2026-04-06T13:31:41.702017
7,469.8682,0.0,165.85858,0.0,0.0,0.0,3569.11376953125,19036.0,18699.89892578125,111.1505,0.9262541666666666,58.0,99.0,79.0,0.5,2026-04-06T13:31:42.172105
8,473.053552,0.0,165.771979,0.0,0.0,0.0,3569.11376953125,19036.0,18699.89892578125,98.9685,0.8247375000000001,59.0,99.0,78.0,0.5,2026-04-06T13:31:42.647857
9,470.606652,0.0,165.729628,0.0,0.0,0.0,3569.11376953125,19036.0,18699.89892578125,98.9685,0.8247375000000001,59.0,99.0,78.0,0.5,2026-04-06T13:31:43.118776
10,472.794207,0.0,165.783338,0.0,0.0,0.0,3569.11376953125,19036.0,18699.89892578125,109.843,0.9153583333333333,58.0,99.0,77.0,0.5,2026-04-06T13:31:43.599282
11,465.883465,0.0,165.891451,0.0,0.0,0.0,3569.11376953125,19036.0,18699.89892578125,109.843,0.9153583333333333,58.0,99.0,77.0,0.5,2026-04-06T13:31:44.065434
12,473.036682,0.0,165.799939,0.0,0.0,0.0,3569.11376953125,19036.0,18699.89892578125,99.898,0.8324833333333334,59.0,99.0,86.0,0.5,2026-04-06T13:31:44.541261
13,471.022039,0.0,165.83487,0.0,0.0,0.0,3569.11376953125,19036.0,18699.89892578125,99.898,0.8324833333333334,59.0,99.0,86.0,0.5,2026-04-06T13:31:45.012513
14,472.855619,0.0,166.005842,0.0,0.0,0.0,3569.11376953125,19036.0,18699.89892578125,110.275,0.9189583333333333,59.0,99.0,79.0,1.1,2026-04-06T13:31:45.488328
15,470.751874,0.0,165.612186,0.0,0.0,0.0,3569.11376953125,19036.0,18699.89892578125,110.275,0.9189583333333333,59.0,99.0,79.0,1.1,2026-04-06T13:31:45.959310
16,473.288576,0.0,165.910481,0.0,0.0,0.0,3569.11376953125,19036.0,18699.89892578125,98.6215,0.8218458333333333,59.0,99.0,77.0,1.6,2026-04-06T13:31:46.438275
17,467.95608,0.0,165.83762,0.0,0.0,0.0,3569.11376953125,19036.0,18699.89892578125,98.6215,0.8218458333333333,59.0,99.0,77.0,1.6,2026-04-06T13:31:46.906451
18,473.262105,0.0,165.628766,0.0,0.0,0.0,3569.11376953125,19036.0,18699.89892578125,110.8475,0.9237291666666666,60.0,99.0,76.0,1.0,2026-04-06T13:31:47.382464
19,471.200362,0.0,165.901951,0.0,0.0,0.0,3569.11376953125,19036.0,18699.89892578125,110.8475,0.9237291666666666,60.0,99.0,76.0,1.0,2026-04-06T13:31:47.853885
20,473.976357,0.0,166.165855,0.0,0.0,0.0,3569.11376953125,19036.0,18699.89892578125,98.962,0.8246833333333333,60.0,99.0,81.0,1.0,2026-04-06T13:31:48.330647
21,471.426145,0.0,166.046262,0.0,0.0,0.0,3569.11376953125,19036.0,18699.89892578125,98.962,0.8246833333333333,60.0,99.0,81.0,1.0,2026-04-06T13:31:48.802288
22,473.465349,0.0,165.961991,0.0,0.0,0.0,3569.11376953125,19036.0,18699.89892578125,109.3645,0.9113708333333335,60.0,99.0,78.0,0.9,2026-04-06T13:31:49.279693
23,470.810406,0.0,166.145214,0.0,0.0,0.0,3569.11376953125,19036.0,18699.89892578125,109.3645,0.9113708333333335,60.0,99.0,78.0,0.9,2026-04-06T13:31:49.750729
24,473.513109,0.0,166.118185,0.0,0.0,0.0,3569.11376953125,19036.0,18699.89892578125,99.458,0.8288166666666666,61.0,99.0,77.0,1.0,2026-04-06T13:31:50.227206
25,470.615212,0.0,165.887782,0.0,0.0,0.0,3569.11376953125,19036.0,18699.89892578125,99.458,0.8288166666666666,61.0,99.0,77.0,1.0,2026-04-06T13:31:50.698043
26,473.732203,0.0,166.314377,0.0,0.0,0.0,3569.11376953125,19036.0,18699.89892578125,109.575,0.913125,60.0,99.0,75.0,1.1,2026-04-06T13:31:51.177497
27,468.936485,0.0,166.339288,0.0,0.0,0.0,3569.11376953125,19036.0,18699.89892578125,109.575,0.913125,60.0,99.0,75.0,1.1,2026-04-06T13:31:51.646748
28,474.331262,0.0,165.634386,0.0,0.0,0.0,3569.11376953125,19036.0,18699.89892578125,98.7875,0.8232291666666667,61.0,99.0,80.0,1.1,2026-04-06T13:31:52.123849
